Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-07-01,JST,3,SYD,HNL,1,50,2,,false,,2024-07-01T16:20,2024-07-01T16:37,,,,,2024-07-01T05:50,,Boeing 787-8,,,,,,,,c192658d-533b-4712-a29e-0cca7dea94e6,268ac079-2a87-4263-9ea7-45abb07d3405,958827d6-30b4-4f21-9da2-e2e5c43635d0,520bf633-9001-4347-9db0-5aa228ee7c30,,4f948d40-962a-4fdf-b1d9-424282d24f76
2024-07-02,HAL,183,HNL,LIH,1,A14,,4,false,,2024-07-02T09:05,2024-07-02T09:03,,,,,2024-07-02T09:47,2024-07-02T09:44,Boeing 717-200,,,,,,,,4b3337cb-a138-452d-8932-73c74a9499ef,16ed4f70-8ae6-4430-80fe-370ac447fc96,520bf633-9001-4347-9db0-5aa228ee7c30,add4881d-d4d2-4082-be26-6f5956a0cbbe,,92a68bee-2e3c-4fc9-975a-20b0d93ac3ed
2024-07-06,HAL,284,LIH,HNL,,,1,A14,false,,2024-07-06T14:25,2024-07-06T14:19,,,,,2024-07-06T15:05,2024-07-06T14:54,Boeing 717-200,,,,,,,,1a3f0a82-4aa9-42a1-8a80-ef4b8c78a5a1,16ed4f70-8ae6-4430-80fe-370ac447fc96,add4881d-d4d2-4082-be26-6f5956a0cbbe,520bf633-9001-4347-9db0-5aa228ee7c30,,92a68bee-2e3c-4fc9-975a-20b0d93ac3ed
2024-07-15,JST,4,HNL,SYD,2,,1,51,false,,2024-07-15T08:20,2024-07-15T08:17,,,,,2024-07-16T14:40,,Boeing 787-8,,,,,,,,57777379-caa7-48da-a6ba-c280170f2f3b,268ac079-2a87-4263-9ea7-45abb07d3405,520bf633-9001-4347-9db0-5aa228ee7c30,958827d6-30b4-4f21-9da2-e2e5c43635d0,,4f948d40-962a-4fdf-b1d9-424282d24f76
2024-10-01,QFA,427,SYD,MEL,3,12,1,21,false,,2024-10-01T09:00,2024-10-01T09:00,,,,,2024-10-01T10:35,,Boeing 737-800,,,,,,,,d42ebc6a-8b71-4ea6-8583-2655a799c0de,ead75665-81f4-41bb-afc7-f213077b2846,958827d6-30b4-4f21-9da2-e2e5c43635d0,abdb643a-f7ba-4564-a003-40b64a7a01b2,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2024-10-01,QFA,2080,MEL,MQL,1,30,,,false,,2024-10-01T12:15,2024-10-01T12:06,,,,,2024-10-01T13:40,,DHC-8-300 Dash 8,,,,,,,,2cbb7b96-6a7d-441d-9038-367524f33e8f,ead75665-81f4-41bb-afc7-f213077b2846,abdb643a-f7ba-4564-a003-40b64a7a01b2,2af167c2-2465-47e4-af7f-90a98d6d2e46,,0ff3b116-562a-4002-9823-a0373c6c26e8
2024-10-02,QFA,2085,MQL,MEL,,,1,27,false,,2024-10-02T17:05,2024-10-02T16:57,,,,,2024-10-02T18:35,,DHC-8-300 Dash 8,,,,,,,,c4e2822d-b02b-4583-a9ca-50a9c270f635,ead75665-81f4-41bb-afc7-f213077b2846,2af167c2-2465-47e4-af7f-90a98d6d2e46,abdb643a-f7ba-4564-a003-40b64a7a01b2,,0ff3b116-562a-4002-9823-a0373c6c26e8
2024-10-02,QFA,492,MEL,SYD,1,9,3,9,false,,2024-10-02T19:45,2024-10-02T19:38,,,,,2024-10-02T21:10,,Boeing 737-800,,,,,,,,5ed92439-7ed7-4fad-98aa-3fe5147ea96f,ead75665-81f4-41bb-afc7-f213077b2846,abdb643a-f7ba-4564-a003-40b64a7a01b2,958827d6-30b4-4f21-9da2-e2e5c43635d0,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-10-31,CES,562,SYD,PVG,1,30,1,,false,,2024-10-31T12:00,2024-10-31T11:58,,,,,2024-10-31T19:30,2024-10-31T19:54,Airbus A350-900,,,,,,,,500ee740-ea3a-46dc-9e23-289023ffade1,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,958827d6-30b4-4f21-9da2-e2e5c43635d0,94ecd389-4c82-477f-8502-261c27f5b6fa,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2024-11-08,CCA,919,PVG,NRT,2,D83,1,36,false,,2024-11-08T14:20,,,,,,2024-11-08T18:10,,Airbus A350-900,,,,,,,,54edc050-b629-491d-90f2-6d3878fa0e73,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,94ecd389-4c82-477f-8502-261c27f5b6fa,42cbe764-fc30-49b0-9e72-eca5f6c21767,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2024-11-16,CCA,182,HND,PEK,3,109,3,B,false,,2024-11-16T14:20,2024-11-16T14:18,,,,,2024-11-16T17:25,2024-11-16T17:13,Airbus A330-300,,,,,,,,ce0886b4-0aba-4a01-a700-a172dc7ed6f3,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,deceac13-5547-4a5a-9877-06e35ae80304,fa495023-95f7-46c7-abf5-69a5f2120d69,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2024-11-17,CCA,907,PEK,MAD,3,E36,1,,false,,2024-11-17T01:55,,,,,,2024-11-17T07:10,,Boeing 787-9,,,,,,,,ad838d50-9332-4abb-b49a-90e7c2b21934,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,fa495023-95f7-46c7-abf5-69a5f2120d69,f6e9455f-8a6d-4806-89c4-18c09a750f00,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-11-22,IBE,1760,SVQ,MAD,1,B16,4,,false,,2024-11-22T17:40,2024-11-22T17:36,,,,,2024-11-22T18:45,2024-11-22T18:41,Airbus A320,,,,,,,,59b65f8f-9b6a-4905-affb-6b91eb713407,4641204d-60ce-4786-824a-cf07cda81816,55138ed4-f7bf-405a-a6e4-84730c4bf31f,f6e9455f-8a6d-4806-89c4-18c09a750f00,,dd390a1f-e92a-4411-ab72-04db16d42030
2024-11-22,IBE,1243,MAD,BLQ,4,K92,,,false,,2024-11-22T21:20,2024-11-22T21:35,,,,,2024-11-22T23:40,2024-11-23T00:05,Bombardier CRJ1000,,,,,,,,2a025b42-264e-45ac-bb92-5df4543c211e,4641204d-60ce-4786-824a-cf07cda81816,f6e9455f-8a6d-4806-89c4-18c09a750f00,04f676ab-952f-456d-9b9c-6505e47969c2,,7ac6ed32-2c53-43c1-be5b-fd01592a3c25
2024-12-02,DLH,283,BLQ,FRA,,6,1,,false,,2024-12-02T10:25,2024-12-02T10:29,,,,,2024-12-02T12:00,2024-12-02T11:52,Airbus A320,,,,,,,,a2896613-e519-48c6-8d6d-94fbf3278ca9,f5251aea-6a53-45b9-b762-9f6580de440e,04f676ab-952f-456d-9b9c-6505e47969c2,9e8dd658-32ff-4277-acb3-8c2b5dc39431,,dd390a1f-e92a-4411-ab72-04db16d42030
2024-12-02,THA,921,FRA,BKK,1,B48,,,false,,2024-12-02T13:45,2024-12-02T13:54,,,,,2024-12-03T06:25,2024-12-03T06:25,Boeing 777-300 ER,,,,,,,,6aefba2e-1da5-4c1c-9ce5-0c4a00d9c8bb,a0b83fd3-dea9-4db2-a20a-cf6b63e1b6af,9e8dd658-32ff-4277-acb3-8c2b5dc39431,548d409f-68f7-4450-aaaf-87133919af6d,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-12-03,THA,475,BKK,SYD,,,1,30,false,,2024-12-03T08:30,2024-12-03T08:33,,,,,2024-12-03T21:50,2024-12-03T21:58,Airbus A350-900,,,,,,,,a72b8573-eff6-4e53-8343-fce75919cdd6,a0b83fd3-dea9-4db2-a20a-cf6b63e1b6af,548d409f-68f7-4450-aaaf-87133919af6d,958827d6-30b4-4f21-9da2-e2e5c43635d0,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-05-22,QFA,291,SYD,SIN,T1,37,T1,D48,false,,2025-05-22T10:20,2025-05-22T13:38,,,,,2025-05-22T16:50,2025-05-22T19:51,Airbus A330-300,,,,,,,,7970b1ab-d44e-4ccc-9f80-19551eb94477,ead75665-81f4-41bb-afc7-f213077b2846,958827d6-30b4-4f21-9da2-e2e5c43635d0,0408c509-a410-4361-806b-eebecfea9bc1,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2025-05-31,THY,55,SIN,IST,1,C15,I,,false,,2025-05-31T23:10,2025-05-31T23:13,,,,,2025-06-01T05:15,2025-06-01T04:40,Boeing 777-300 ER,,,,,,,,ba6c1d8c-5909-4a11-b95e-d80a87f693d9,4b6748ff-2354-4a00-b3f5-e0624c0b26b4,0408c509-a410-4361-806b-eebecfea9bc1,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-06-01,THY,1321,IST,BLQ,I,B8A,MAIN,,false,,2025-06-01T08:00,2025-06-01T07:58,,,,,2025-06-01T09:40,2025-06-01T09:16,Airbus A321neo,,,,,,,,9327aa2b-02b5-45f4-9b0a-658dc94908de,4b6748ff-2354-4a00-b3f5-e0624c0b26b4,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,04f676ab-952f-456d-9b9c-6505e47969c2,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2025-06-07,EZY,3967,MXP,KEF,2,D14,,,false,,2025-06-07T17:20,2025-06-07T17:18,,,,,2025-06-07T19:45,2025-06-07T19:35,Airbus A320neo,,,,,,,,bd79997e-76b5-4c77-86cd-9601ae503c6f,c39d5ea4-a02f-45f5-bbbb-d3ef73b04aff,4e2e7d0a-9203-4b17-a233-bf1913e06603,f9ddda80-ba0f-442d-a00c-851d63bcbb3c,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2025-06-16,TRA,6888,KEF,AMS,MAIN,C22,1,C5,false,,2025-06-16T18:20,2025-06-16T18:13,,,,,2025-06-16T23:30,2025-06-16T23:06,Boeing 737-800,,,,,,,,cc1de902-18d8-4187-9962-0128087703f0,1c06f466-992e-4f3e-9494-7e9111f05daf,f9ddda80-ba0f-442d-a00c-851d63bcbb3c,f671c076-61b7-4572-8abb-359aaadaafd4,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-06-22,TRA,5309,EIN,BLQ,MAIN,3,MAIN,,false,,2025-06-22T18:55,2025-06-22T18:59,,,,,2025-06-22T20:30,2025-06-22T20:24,Boeing 737-800,,,,,,,,75d9f613-001b-4573-a6a7-e1700b97d443,1c06f466-992e-4f3e-9494-7e9111f05daf,5d770dca-bcee-4133-b829-c7b38c51387b,04f676ab-952f-456d-9b9c-6505e47969c2,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2025-07-07,THY,1322,BLQ,IST,,19,,,false,,2025-07-07T10:40,2025-07-07T11:10,,,,,2025-07-07T14:25,2025-07-07T14:39,Airbus A321neo,,,,,,,,7c491a99-4f81-402c-87fc-e29b9e451820,4b6748ff-2354-4a00-b3f5-e0624c0b26b4,04f676ab-952f-456d-9b9c-6505e47969c2,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2025-07-07,THY,208,IST,SIN,,D11,1,C15,false,,2025-07-07T17:05,2025-07-07T17:34,,,,,2025-07-08T08:45,2025-07-08T09:31,Airbus A350-900,,,,,,,,4f088e2b-047f-4e31-8d13-9ff0d40958b8,4b6748ff-2354-4a00-b3f5-e0624c0b26b4,4c08e958-48c1-4317-9dbb-0edee8e4c4bc,0408c509-a410-4361-806b-eebecfea9bc1,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2025-07-09,QFA,82,SIN,SYD,T1,D46,T1,24,false,,2025-07-09T20:45,2025-07-09T20:49,,,,,2025-07-10T06:25,2025-07-10T06:26,Airbus A380,,,48A,WINDOW,ECONOMY,BUSINESS,,37953724-bad0-4966-94d6-53a43ac82f97,ead75665-81f4-41bb-afc7-f213077b2846,0408c509-a410-4361-806b-eebecfea9bc1,958827d6-30b4-4f21-9da2-e2e5c43635d0,,b8eb326f-91a9-4135-9759-93f73428b24f
2025-08-13,QFA,512,SYD,BNE,3,,D,,false,,2025-08-13T10:05,,,,,,2025-08-13T11:35,,Boeing 737-800,,,,,,,,5a824d67-40bd-4a13-b952-7696d0372538,ead75665-81f4-41bb-afc7-f213077b2846,958827d6-30b4-4f21-9da2-e2e5c43635d0,d0a07fb4-918a-4e7f-aeb2-3efb7649214a,,bfed5d53-9645-4ae2-aa8b-808123bd938b
2025-08-18,QFA,513,BNE,SYD,D,,3,,false,,2025-08-18T09:15,,,,,,2025-08-18T10:50,,Boeing 737-800,,,,,,,,bfeb48c0-5648-4549-a556-c3ce2f2c3404,ead75665-81f4-41bb-afc7-f213077b2846,d0a07fb4-918a-4e7f-aeb2-3efb7649214a,958827d6-30b4-4f21-9da2-e2e5c43635d0,,bfed5d53-9645-4ae2-aa8b-808123bd938b
2025-12-19,CSC,3892,SYD,TFU,1,,1,,false,,2025-12-19T21:25,,,,,,2025-12-20T05:00,,Airbus A350-900,,,,,,,,3c7d3041-f9d2-4043-816c-e5e5123b50b2,fab62880-f263-4586-866e-31876e29d6e3,958827d6-30b4-4f21-9da2-e2e5c43635d0,40ec87e9-232a-46b1-b6fb-a8e4500b4e3d,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
2026-01-10,CSC,8650,DLU,CTU,,,1,,false,,2026-01-10T09:05,,,,,,2026-01-10T10:35,,Airbus A319,,,,,,,,487895b4-6224-4bbe-926d-95e896108003,fab62880-f263-4586-866e-31876e29d6e3,038a0132-3b9f-478e-b21a-f22759fc1f78,b0c5320c-15c1-4f40-b789-0cfe491aeb91,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2026-01-11,CSC,3891,TFU,SYD,1,,1,,false,,2026-01-11T01:20,,,,,,2026-01-11T14:40,,Airbus A350-900,,,,,,,,44bd491e-e564-43b2-8fde-b83f9535fbec,fab62880-f263-4586-866e-31876e29d6e3,40ec87e9-232a-46b1-b6fb-a8e4500b4e3d,958827d6-30b4-4f21-9da2-e2e5c43635d0,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
